can_id,can_nam,spe_id,spe_nam,ele_typ,can_off_sta,can_off_dis,can_off,can_par_aff,exp_amo,exp_dat,agg_amo,sup_opp,pur,pay,file_num,amn_ind,tra_id,ima_num,rec_dat,prev_file_num,dissem_dt
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$1,432.00 ",2/22/16,"$10,381,522.17 ",Support,Phone calls,Revolution Agency,1051677,N,1,2.01602E+17,2/21/16, ,2/20/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$18,417.74 ",2/22/16,"$10,380,090.17 ",Support,Phone calls,Strategic Direction,1051676,N,1,2.01602E+17,2/21/16, ,2/20/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,$130.00 ,2/19/16,"$10,361,672.43 ",Support,Media production,Revolution Agency,1051522,N,1,2.01602E+17,2/20/16, ,2/19/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$1,482.00 ",2/19/16,"$10,361,542.43 ",Support,Phone calls,Revolution Agency,1051521,N,1,2.01602E+17,2/20/16, ,2/19/16
 ,"Rubio, Marco",C00571372,Right to Rise USA,P,SC,0,P, ,"$21,100.42 ",2/19/16,"$10,360,060.43 ",Oppose,Phone Calls,Strategic Direction,1051518,N,2,2.01602E+17,2/20/16, ,2/19/16
 ,"Kasich, John",C00571372,Right to Rise USA,P,SC,0,P, ,"$12,912.53 ",2/19/16,"$10,338,960.01 ",Oppose,Phone Calls - also opposes Rubio,Strategic Direction,1051518,N,1,2.01602E+17,2/20/16, ,2/19/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$2,688.00 ",2/19/16,"$10,326,047.48 ",Support,Phone Calls,Revolution Agency,1051408,N,1,2.01602E+17,2/19/16, ,2/18/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$23,442.00 ",2/19/16,"$10,323,359.48 ",Support,Media Production,Revolution Agency,1051407,N,1,2.01602E+17,2/19/16, ,2/18/16
 ,"Kasich, John",C00571372,Right to Rise USA,P,SC,0,P, ,"$5,760.09 ",2/18/16,"$10,299,917.48 ",Oppose,Phone Calls,Strategic Direction,1051406,N,1,2.01602E+17,2/19/16, ,2/18/16
 ,"Kasich, John",C00571372,Right to Rise USA,P,SC,0,P, ,"$1,456.92 ",2/18/16,"$10,294,157.39 ",Oppose,Phone Calls,Strategic Direction,1051405,N,3,2.01602E+17,2/19/16, ,2/18/16
