County,Registered Voters,Ballots Cast,Clinton,Trump,Johnson,McMullin,Stein,Castle,Skewes
Abbeville,15351,10880,3741,6763,129,56,36,38,12
Aiken,110956,75549,25455,46025,1798,791,460,213,109
Allendale,6035,3627,2735,789,22,12,11,11,12
Anderson,118564,81212,21097,56232,1592,776,438,236,112
Bamberg,9688,6282,3898,2204,51,21,17,16,7
Barnwell,13797,9568,4400,4889,87,43,35,24,7
Beaufort,111976,79571,32138,42922,2005,743,482,142,92
Berkeley,117906,80188,30705,44587,2470,864,543,230,118
Calhoun,10794,7631,3573,3787,105,39,24,15,6
Charleston,277036,178249,89299,75443,7283,1985,1681,428,226
Cherokee,32085,21892,6092,15167,242,96,80,52,30
Chester,20979,14311,6579,7265,175,64,50,30,29
Chesterfield,26195,16763,6858,9312,185,95,47,60,24
Clarendon,23771,15583,7732,7386,127,74,27,25,24
Colleton,25270,17438,7627,9091,262,103,79,60,29
Darlington,44307,29901,13888,14989,385,168,133,73,38
Dillon,20037,11797,5834,5637,79,43,54,23,28
Dorchester,99789,63138,24055,34987,2050,731,447,215,82
Edgefield,16728,11754,4491,6842,152,68,35,42,14
Fairfield,15885,11401,6945,4027,120,73,49,32,21
Florence,87689,58433,26710,29573,853,350,255,116,74
Georgetown,42782,32051,13310,17389,498,202,165,57,36
Greenville,312676,217378,74483,127832,6511,3645,1495,884,315
Greenwood,41698,29209,10711,16961,580,221,160,81,49
Hampton,12991,8885,5170,3488,69,32,19,14,14
Horry,204929,134228,39410,89288,2276,737,811,197,201
Jasper,17883,11508,5956,5187,139,68,35,25,17
Kershaw,41676,29294,10330,17542,560,289,143,72,59
Lancaster,54859,39321,13812,23719,764,336,161,97,49
Laurens,39516,26881,8889,16816,373,201,125,122,40
Lee,12205,8233,5199,2803,63,33,22,25,11
Lexington,176239,123292,35230,80026,3584,1733,894,416,210
Marion,22314,14416,8569,5444,103,46,65,27,22
Marlboro,18477,10491,5954,4267,70,32,33,20,13
McCormick,7093,5285,2479,2652,47,17,8,6,7
Newberry,23531,17004,6217,10017,313,109,65,34,52
Oconee,50114,33984,7998,24178,725,316,225,92,101
Orangeburg,58756,39255,26318,11931,308,120,125,64,44
Pickens,68808,49491,10354,36236,1194,549,328,163,225
Richland,252739,170224,108000,52469,3938,2233,1383,467,232
Saluda,11817,8664,2813,5526,105,48,42,18,12
Spartanburg,177635,122224,39997,76277,2443,1099,760,357,157
Sumter,68619,44431,24047,18745,644,301,202,83,64
Union,17573,12217,4729,7061,137,63,48,33,21
Williamsburg,22646,15181,9953,4864,84,52,50,31,20
York,167053,115269,41593,66754,3504,1339,687,299,181
